"edycja","woj","wiek","plec","N"
2013,22,2,0,191003
2013,22,2,1,186873
2013,22,3,0,242636
2013,22,3,1,222067
2013,22,4,0,233297
2013,22,4,1,171148
2013,24,1,0,212791
2013,24,1,1,234885
2013,24,2,0,364654
2013,24,2,1,335886
2013,24,3,0,459936
2013,24,3,1,488006
2013,24,4,0,493252
2013,24,4,1,371312
2013,26,1,0,65723
2013,26,1,1,58158
2013,26,2,0,107226
2013,26,2,1,95613
2013,26,3,0,126310
2013,26,3,1,128219
2013,26,4,0,138860
2013,26,4,1,98845
2013,28,1,0,86696
2013,28,1,1,80321
2013,28,2,0,120756
2013,28,2,1,116260
2013,28,3,0,146644
2013,28,3,1,140997
2013,28,4,0,153079
2013,28,4,1,113537
2013,30,1,0,183126
2013,30,1,1,185777
2013,30,2,0,283741
2013,30,2,1,254202
2013,30,3,0,367146
2013,30,3,1,368237
2013,30,4,0,347462
2013,30,4,1,258166
2013,32,1,0,96789
2013,32,1,1,95443
2013,32,2,0,143166
2013,32,2,1,126215
2013,32,3,0,167291
2013,32,3,1,170923
2013,32,4,0,195502
2013,32,4,1,142767
2014,2,1,0,154580
2014,2,1,1,146459
2014,2,2,0,213350
2014,2,2,1,226222
2014,2,3,0,312874
2014,2,3,1,291985
2014,2,4,0,322754
2014,2,4,1,234199
2014,4,1,0,118520
2014,4,1,1,104744
2014,4,2,0,159079
2014,4,2,1,170000
2014,4,3,0,217094
2014,4,3,1,208620
2014,4,4,0,218717
2014,4,4,1,160283
2014,6,1,0,126972
2014,6,1,1,104352
2014,6,2,0,156340
2014,6,2,1,174564
2014,6,3,0,230520
2014,6,3,1,210052
2014,6,4,0,216294
2014,6,4,1,158203
2014,8,1,0,62140
2014,8,1,1,53302
2014,8,2,0,78471
2014,8,2,1,88291
2014,8,3,0,102776
2014,8,3,1,92888
2014,8,4,0,111755
2014,8,4,1,80369
2014,10,1,0,124811
2014,10,1,1,120535
2014,10,2,0,197629
2014,10,2,1,177637
2014,10,3,0,242952
2014,10,3,1,257925
2014,10,4,0,267346
2014,10,4,1,198832
2014,12,1,0,201179
2014,12,1,1,171820
2014,12,2,0,282933
2014,12,2,1,277464
2014,12,3,0,316733
2014,12,3,1,330674
2014,12,4,0,318841
2014,12,4,1,233420
2014,14,1,0,241298
2014,14,1,1,255176
2014,14,2,0,377898
2014,14,2,1,391795
2014,14,3,0,523838
2014,14,3,1,527725
2014,14,4,0,459531
2014,14,4,1,341267
2014,16,1,0,52816
2014,16,1,1,51097
2014,16,2,0,80645
2014,16,2,1,77934
2014,16,3,0,106292
2014,16,3,1,107379
2014,16,4,0,108832
2014,16,4,1,78050
2014,18,1,0,125299
2014,18,1,1,108850
2014,18,2,0,167375
2014,18,2,1,161252
2014,18,3,0,227540
2014,18,3,1,229554
2014,18,4,0,206796
2014,18,4,1,148955
2014,20,1,0,74416
2014,20,1,1,63660
2014,20,2,0,95770
2014,20,2,1,98132
2014,20,3,0,118614
2014,20,3,1,112978
2014,20,4,0,119829
2014,20,4,1,88252
2014,22,1,0,134928
2014,22,1,1,128010
2014,22,2,0,168997
2014,22,2,1,194019
2014,22,3,0,240606
2014,22,3,1,212001
2014,22,4,0,232220
2014,22,4,1,165584
2014,24,1,0,227057
2014,24,1,1,221000
2014,24,2,0,363801
2014,24,2,1,351158
2014,24,3,0,430028
2014,24,3,1,467871
2014,24,4,0,497236
2014,24,4,1,370569
2014,26,1,0,70300
2014,26,1,1,60382
2014,26,2,0,98300
2014,26,2,1,98871
2014,26,3,0,128947
2014,26,3,1,120918
2014,26,4,0,137771
2014,26,4,1,96681
2014,28,1,0,72224
2014,28,1,1,71290
2014,28,2,0,129863
2014,28,2,1,119386
2014,28,3,0,149487
2014,28,3,1,144041
2014,28,4,0,153614
2014,28,4,1,112030
2014,30,1,0,170280
2014,30,1,1,158660
2014,30,2,0,299531
2014,30,2,1,284724
2014,30,3,0,362153
2014,30,3,1,364444
2014,30,4,0,345015
2014,30,4,1,251211
2014,32,1,0,96795
2014,32,1,1,93966
2014,32,2,0,128261
2014,32,2,1,129107
2014,32,3,0,180543
2014,32,3,1,167482
2014,32,4,0,193389
2014,32,4,1,138628
