id_gosp;id_osoba;woj;klm;plec;internet;wyksz;nauka_lata;czy_praca;czy_pelny_etat;czy_rej_pup;dzieci;wiek
668;4;8;6;1;1;50;11;1;1;2;0;31
668;12;8;6;2;1;51;13;2;0;2;0;20
672;1;8;5;1;1;50;10;2;0;2;0;63
672;4;8;5;1;1;30;12;1;1;2;0;31
676;4;8;6;1;1;30;13;1;1;2;0;25
690;1;8;6;2;1;30;12;2;0;1;1;54
695;1;8;3;2;2;60;8;2;0;2;0;56
730;2;8;3;1;1;40;12;2;0;2;0;21
730;1;8;3;2;1;20;17;1;1;2;1;42
737;1;8;3;2;1;11;17;1;1;2;0;59
745;1;8;3;2;2;20;15;2;0;2;1;55
745;2;8;3;2;1;11;18;1;1;2;0;25
749;3;8;3;1;1;12;16;1;1;2;0;27
749;2;8;3;2;1;30;13;1;1;2;1;50
751;1;8;3;1;2;30;12;2;0;2;1;53
751;4;8;3;1;1;40;11;2;0;2;0;20
751;2;8;3;2;2;30;12;2;0;2;0;56
751;3;8;3;2;1;40;14;2;0;2;0;22
761;2;10;6;2;2;30;12;1;1;2;0;51
762;5;10;6;1;1;50;11;1;1;2;1;34
762;7;10;6;1;2;50;11;1;1;2;1;37
762;2;10;6;2;2;60;8;1;1;2;1;55
762;6;10;6;2;1;50;11;1;1;2;1;33
764;2;10;4;1;1;50;11;2;0;1;0;52
772;1;10;6;1;2;30;11;1;1;2;1;60
772;5;10;6;1;1;30;12;1;1;2;0;23
772;7;10;6;1;1;50;11;2;0;1;0;19
772;2;10;6;2;2;60;8;2;0;2;1;47
772;8;10;6;2;1;30;10;2;0;2;0;17
780;1;10;6;1;2;60;8;1;1;2;1;50
780;2;10;6;2;2;30;12;1;1;2;1;44
781;2;10;4;1;1;30;13;2;0;2;1;63
787;1;10;6;1;1;12;18;1;1;2;1;44
787;2;10;6;2;1;50;11;1;1;2;0;44
787;4;10;6;2;1;51;11;2;0;2;0;18
798;3;10;4;2;2;60;8;2;0;2;1;57
798;4;10;4;2;1;30;14;2;0;2;0;22
842;2;10;4;1;2;20;14;1;1;2;1;58
842;1;10;4;2;2;30;13;1;1;2;1;47
842;3;10;4;2;1;51;10;2;0;2;0;20
845;2;10;6;1;1;50;11;2;0;2;0;58
845;1;10;6;2;1;11;16;1;1;2;0;57
845;3;10;6;1;1;51;10;2;0;2;0;18
860;4;10;6;1;1;30;12;2;0;2;0;36
879;2;10;1;1;1;40;12;1;1;2;0;32
879;1;10;1;2;2;40;12;1;1;2;1;57
879;4;10;1;2;1;20;14;1;1;2;1;29
895;2;10;1;2;1;40;12;1;1;2;1;49
948;1;12;6;1;1;30;13;1;1;2;1;55
948;2;12;6;2;1;11;16;1;1;2;1;56
948;3;12;6;2;1;11;17;1;2;2;1;34
948;4;12;6;2;1;20;14;1;1;2;0;31
948;5;12;6;2;1;40;15;2;0;2;0;25
949;2;12;6;2;1;50;12;2;0;2;1;36
979;1;12;6;1;2;50;11;2;0;2;1;62
988;1;12;6;1;2;50;11;1;1;2;0;56
988;3;12;6;1;1;30;15;2;0;2;0;23
988;2;12;6;2;2;50;11;1;1;2;0;47
988;5;12;6;2;1;51;9;2;0;2;0;17
996;1;12;6;1;1;50;11;1;1;2;0;56
996;5;12;6;1;1;30;13;2;0;2;0;25
996;6;12;6;1;1;51;9;2;0;2;1;17
996;2;12;6;2;1;50;11;2;0;2;0;48
1001;3;12;6;1;2;60;8;1;1;2;0;49
1001;6;12;6;1;1;51;10;1;2;2;0;18
1001;2;12;6;2;1;50;11;1;1;2;0;42
1015;5;12;6;1;2;60;8;1;1;2;1;49
1015;6;12;6;1;1;12;15;1;1;2;0;23
1015;9;12;6;1;1;51;9;2;0;2;0;18
1015;4;12;6;2;2;60;8;1;1;2;1;49
1015;7;12;6;2;1;40;12;2;0;2;0;21
1020;1;12;4;1;1;30;13;2;0;2;0;64
1041;1;12;6;1;1;30;14;1;1;2;0;46
1041;2;12;6;2;1;50;11;1;2;1;0;45
1059;1;12;6;1;1;60;8;1;1;2;0;50
1059;3;12;6;1;1;50;10;1;1;2;0;25
1059;4;12;6;1;1;50;12;1;1;2;0;23
1059;2;12;6;2;1;50;14;1;1;2;0;47
1073;1;12;1;2;1;20;14;1;1;2;0;54
1091;2;12;1;1;1;11;18;2;0;1;0;48
1115;2;12;1;2;1;30;13;1;1;2;0;41
1141;1;14;6;1;2;40;12;1;1;2;0;46
1141;3;14;6;1;1;51;11;2;0;2;0;18
1141;4;14;6;1;1;30;13;1;1;2;0;23
1141;2;14;6;2;2;40;12;1;1;2;1;44
1141;8;14;6;2;1;30;13;1;1;2;0;22
1158;2;14;6;1;2;60;8;1;2;2;0;58
1158;3;14;6;1;2;60;9;1;2;2;0;25
1176;1;14;6;1;2;50;11;1;1;2;1;58
1176;2;14;6;2;2;40;12;1;1;2;1;55
1178;1;14;6;1;2;50;11;1;1;2;1;48
1178;4;14;6;1;1;30;14;1;1;1;0;24
1178;2;14;6;2;2;50;11;1;1;2;1;50
1178;5;14;6;2;1;51;9;2;0;2;0;17
1182;2;14;4;1;1;11;17;1;1;2;0;39
1183;1;14;6;1;2;50;11;1;1;2;1;52
1183;4;14;6;1;1;12;16;1;1;2;0;25
1183;2;14;6;2;2;50;11;1;1;2;1;50
1187;1;14;6;1;2;50;11;1;1;2;1;56
1187;4;14;6;1;1;40;14;2;0;2;1;22
1187;5;14;6;1;1;51;11;2;0;2;0;19
1187;3;14;6;2;1;40;16;1;1;2;0;24
1212;1;14;6;1;2;50;11;1;1;1;1;53
1212;5;14;6;1;1;51;12;2;0;2;1;20
1212;6;14;6;1;1;51;10;2;0;2;1;18
1212;2;14;6;2;2;50;11;1;1;1;1;47
1252;1;14;1;1;1;12;18;2;0;2;1;62
1252;2;14;1;2;1;50;10;2;0;2;1;59
1252;3;14;1;2;1;11;17;1;2;2;1;27
1255;1;14;1;1;1;12;16;1;1;2;0;50
1255;2;14;1;2;1;30;12;1;1;2;0;50
1270;2;14;1;2;1;20;14;1;1;2;1;55
1287;1;14;4;1;1;30;13;1;1;2;1;49
1287;4;14;4;1;1;51;9;2;0;2;0;18
1287;2;14;4;2;1;40;11;1;1;2;1;48
1287;3;14;4;2;1;30;13;1;1;2;0;27
1302;5;14;5;2;1;11;17;1;1;2;1;26
1302;7;14;5;1;1;30;14;1;1;2;1;29
1316;4;14;2;1;1;30;14;1;1;1;0;30
1316;2;14;2;2;1;50;11;2;0;1;0;39
1337;1;16;6;1;2;50;10;1;1;2;0;54
1337;3;16;6;2;1;30;13;1;2;2;0;25
1380;1;16;5;1;2;60;8;2;0;1;1;55
1380;5;16;5;1;1;30;13;1;1;2;0;21
1380;8;16;5;1;1;60;8;1;1;2;0;34
1380;3;16;5;2;1;50;11;1;1;2;1;35
1384;1;16;6;1;1;60;8;1;1;2;0;42
1408;6;16;6;1;1;50;11;1;1;2;0;32
1426;1;16;6;1;1;11;18;1;1;2;1;54
1426;3;16;6;1;1;12;16;1;1;2;0;25
1426;4;16;6;1;1;30;15;2;0;2;0;22
1426;2;16;6;2;1;30;13;1;1;2;0;47
1434;1;16;5;1;1;30;13;1;1;2;1;59
1436;1;16;6;1;1;50;11;1;1;2;0;53
1436;2;16;6;2;1;60;8;1;1;2;1;47
1436;4;16;6;2;1;12;16;1;1;2;1;27
1441;1;16;6;1;1;50;11;2;0;2;1;58
1441;2;16;6;2;2;50;11;2;0;2;1;57
1446;1;16;6;1;1;50;11;1;1;2;0;43
1446;3;16;6;2;1;51;12;2;0;2;0;19
1448;1;16;3;1;1;30;12;1;1;2;1;51
1448;3;16;3;1;1;40;17;2;0;1;0;27
1448;2;16;3;2;1;20;14;1;1;2;1;49
1450;3;16;3;2;1;30;14;1;1;2;0;40
1451;1;16;3;1;1;11;18;1;1;2;0;49
1451;2;16;3;2;1;11;19;1;1;2;0;51
1466;1;16;3;1;1;11;17;1;1;2;0;45
1466;3;16;3;1;1;40;16;2;0;2;0;24
1466;4;16;3;1;1;51;10;2;0;2;0;17
1480;1;16;3;1;1;11;18;1;1;2;1;49
1480;2;16;3;2;1;11;17;1;1;2;0;43
1480;3;16;3;2;1;40;12;2;0;2;0;20
1496;2;12;6;2;1;50;10;2;0;2;0;58
1498;3;12;6;1;1;30;12;1;1;2;1;36
1505;2;12;6;2;2;50;11;2;0;2;1;45
1506;2;12;6;2;2;30;12;1;1;2;1;50
1507;3;16;3;2;1;11;17;1;1;2;0;48
1514;1;18;6;1;2;50;11;2;0;2;1;61
1514;4;18;6;1;1;20;16;1;1;2;0;35
1514;5;18;6;1;1;50;11;2;0;1;0;34
1514;6;18;6;1;1;11;18;1;1;2;0;32
1514;2;18;6;2;2;60;8;1;1;2;1;59
1514;7;18;6;2;1;30;13;1;1;2;0;28
1520;4;18;5;1;1;11;17;1;1;2;1;54
1520;3;18;5;2;1;11;17;1;1;2;0;49
1521;1;12;6;1;2;50;11;1;1;2;1;43
1521;2;12;6;2;1;40;13;1;2;2;1;37
1521;3;12;6;2;1;51;10;2;0;2;0;17
1523;1;12;6;1;1;50;11;1;1;2;1;37
1523;2;12;6;2;1;30;14;2;0;1;0;32
1528;1;18;6;1;2;50;11;1;2;2;0;55
1528;5;18;6;1;1;51;9;2;0;2;0;17
1528;6;18;6;1;2;50;11;2;0;2;0;50
1528;2;18;6;2;2;50;11;1;1;2;1;47
1528;7;18;6;2;1;40;12;1;2;2;0;24
1530;1;18;4;1;1;11;17;1;1;2;1;63
1530;3;18;4;1;1;30;13;1;1;2;0;29
1530;4;18;4;1;1;40;11;2;0;1;1;24
1530;5;18;4;1;1;51;12;2;0;2;0;20
1530;2;18;4;2;1;20;14;2;0;2;0;56
1532;1;12;4;2;2;50;11;2;0;2;0;38
1533;1;18;6;1;2;50;10;1;1;2;1;59
1533;3;18;6;1;1;30;14;1;1;2;1;31
1533;2;18;6;2;2;60;7;2;0;2;0;58
1533;5;18;6;2;1;12;16;2;0;1;0;26
1533;6;18;6;2;1;12;15;1;1;2;1;29
1536;2;18;6;1;2;50;11;2;0;2;0;62
1536;5;18;6;1;1;11;19;1;1;2;0;29
1536;8;18;6;1;1;51;11;2;0;2;0;19
1536;11;18;6;1;1;50;11;1;1;2;1;33
1536;1;18;6;2;2;20;14;1;2;2;0;58
1536;4;18;6;2;1;12;15;2;0;1;0;30
1541;3;18;6;1;2;30;13;2;0;2;1;62
1542;2;18;6;2;1;11;17;1;1;2;0;52
1548;4;18;6;2;1;12;16;2;0;2;0;24
1552;4;18;6;1;2;50;10;1;1;2;1;50
1552;6;18;6;1;1;50;12;1;1;2;0;23
1552;7;18;6;1;1;50;12;2;0;1;0;22
1552;3;18;6;2;1;30;13;1;1;2;0;47
1552;5;18;6;2;2;50;11;1;1;2;1;49
1557;1;18;5;1;1;11;20;1;1;2;1;56
1557;6;18;5;1;1;50;11;2;0;2;0;46
1557;2;18;5;2;1;20;14;1;2;2;0;48
1557;3;18;5;2;1;40;17;2;0;2;0;24
1557;4;18;5;2;1;40;15;2;0;2;0;22
1560;1;18;6;1;1;50;11;1;1;2;0;56
1561;2;18;4;1;1;30;13;1;1;2;1;55
1563;4;18;4;2;1;51;9;2;0;2;0;18
1563;5;18;4;2;1;60;6;2;0;2;0;16
1568;1;18;3;1;1;11;17;1;1;2;1;63
1573;3;18;6;1;2;40;12;1;1;2;0;43
1575;2;18;5;1;2;50;11;1;2;2;0;60
1581;2;18;6;1;1;30;13;1;1;2;0;60
1581;1;18;6;2;1;30;13;1;1;2;1;56
1629;3;18;4;2;1;30;13;1;1;2;0;55
1639;2;18;3;1;1;11;18;1;1;2;1;32
1647;2;18;3;1;2;30;13;2;0;2;1;64
1648;1;18;3;1;1;50;11;1;1;2;1;47
1648;3;18;3;2;1;51;11;2;0;2;0;19
1667;1;18;3;1;1;11;18;1;1;2;0;53
1667;2;18;3;2;1;30;13;1;1;2;0;46
1667;3;18;3;2;1;40;13;2;0;2;0;21
1667;4;18;3;2;1;51;9;2;0;2;0;17
1670;5;18;3;2;1;11;17;2;0;1;0;25
1676;1;18;3;2;1;11;16;1;1;2;1;39
1698;1;20;4;1;1;30;13;1;1;2;0;45
1698;2;20;4;2;1;12;15;1;1;2;1;42
1698;3;20;4;2;1;40;12;2;0;2;0;21
1708;1;20;6;1;1;50;11;1;1;2;1;51
1708;2;20;6;2;1;40;14;1;1;2;0;48
1720;3;20;6;1;1;50;11;1;1;2;0;41
1748;1;20;5;1;1;30;12;1;1;2;1;64
1764;1;20;5;1;1;50;11;2;0;2;1;64
1770;3;20;6;1;2;30;14;1;1;2;0;47
1774;5;20;6;1;2;50;11;1;2;2;0;39
1777;1;20;5;1;1;40;14;2;0;2;1;43
1777;2;20;5;2;1;30;13;1;1;2;1;40
1782;2;20;6;2;2;50;11;1;1;2;1;44
1789;1;12;4;1;1;50;11;1;1;2;1;53
1789;3;12;4;1;1;11;18;1;1;2;0;25
1789;4;12;4;1;1;40;12;1;1;2;0;32
1789;2;12;4;2;1;11;18;1;1;2;1;51
1790;1;12;4;1;2;50;11;2;0;2;0;55
1790;2;12;4;2;1;30;12;1;1;2;1;53
1790;3;12;4;2;1;40;12;1;1;2;0;30
1790;4;12;4;2;1;30;16;2;0;2;0;23
1791;1;20;6;1;2;30;13;1;1;2;0;58
1791;5;20;6;1;2;50;11;1;1;2;0;60
1794;1;20;6;1;1;30;13;1;1;2;0;44
1794;2;20;6;2;1;12;15;1;1;2;1;46
1799;1;20;6;1;2;50;11;2;0;2;1;59
1799;2;20;6;2;1;11;17;1;1;2;1;52
1808;1;20;2;2;1;20;14;1;1;2;0;56
1820;1;20;2;2;1;40;12;2;0;1;1;58
1830;2;20;2;1;1;11;17;2;0;2;1;62
1830;4;20;2;2;1;12;17;1;1;2;0;31
1839;2;20;2;1;2;50;12;1;2;2;1;51
1850;1;20;2;1;1;30;13;1;1;2;1;59
1850;5;20;2;1;1;51;11;2;0;2;0;19
1850;2;20;2;2;1;30;13;1;1;2;1;58
1853;1;20;2;1;1;11;17;1;1;2;1;63
1855;1;20;2;1;1;11;17;1;1;2;1;50
1855;2;20;2;2;1;11;17;1;1;2;1;50
1856;2;20;2;1;1;30;13;1;1;2;1;55
1856;1;20;2;2;1;11;19;1;1;2;1;43
1863;1;20;2;1;2;30;13;2;0;1;1;64
1863;2;20;2;2;1;30;14;1;1;2;1;59
1863;4;20;2;2;1;12;18;1;1;2;0;31
